Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки
Python. Карманный справочник,Лутц Марк,,968₽,2 152₽
Искусство программирования. Том 1. Основные алгоритмы,Кнут Дональд Эрвин,,4 274₽,9 498₽
"Шаблоны интеграции корпоративных приложений. Проектирование, создание и развертывание решений",Хоп,,4 274₽,9 498₽
Язык программирования C. Лекции и упражнения,Прата Стивен,,4 274₽,9 498₽
Реализация методов предметно-ориентированного проектирования,Вернон Вон,,3 630₽,8 066₽
Язык программирования Go,Донован,,1 855₽,4 123₽
Java. Полное руководство,Шилдт Герберт,,4 435₽,9 856₽
Шаблоны C++. Справочник разработчика,Вандевурд,,3 065₽,6 810₽
Java Persistence API и Hibernate,Бауэр,,1 529₽,3 397₽
Байесовские модели. Байесовская статистика на языке Python,Дауни Аллен Б.,,1 112₽,2 471₽
Разработка чат-ботов и разговорных интерфейсов,Джанарсанам Срини,,1 391₽,3 091₽
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание,Рихтер Джеффри,Питер:Мастер-класс,2 836₽,3 636₽
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Бхаргава Адитья,Питер:Библиотека программиста,813₽,1 016₽
Ядро ORACLE. Внутреннее устройство для администраторо и разработчиков баз данных,Льюис Джонатан,,1 321₽,2 935₽
Идеальный программист. Как стать профессионалом разработки ПО,Мартин Роберт С.,,647₽,809₽
Site Reliability Engineering. Надежность и безотказность как в Google,Бейер,Питер:Бестселлеры O`Reilly,2 377₽,3 047₽
Akka в действии,Рестенбург,,1 947₽,4 326₽
Искусство создания сценариев в Unity,Торн Алан,,1 391₽,3 091₽
Основы работы с технологией CUDA,Боресков,,834₽,1 853₽
WebGL. Программирование трехмерной графики,Мацуда,,1 668₽,3 707₽
Чистый Python. Тонкости программирования для профи,Бейдер Дэн,Питер:Библиотека программиста,1 548₽,1 985₽
Введение в распределенное моделирование в среде NetLogo,Ершов Николай Михайлович,,1 251₽,2 781₽
"Искусственный интеллект .NET. Речь, язык и поиск",Патак,,1 112₽,2 471₽
Элегантный SciPy,Нуньес-Иглесиас,,1 807₽,4 016₽
Стандартная библиотека Python 3. Справочник с примерами,Хеллман Даг,,4 435₽,9 856₽
Язык декларативного программирования XAML,Подбельский Вадим Валерьевич,,1 321₽,2 935₽
Облачные технологии поддержки решения задач анализа безубыточности. Монография,Смирнов Денис Евгеньевич,,423₽,941₽
C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов,Прайс Марк Дж.,Питер:Библиотека программиста,2 209₽,2 832₽
Компьютерные вирусы и антивирусы. Взгляд программиста,Климентьев Константин Евгеньевич,ДМК-Пресс:Профессиональное программирование,1 391₽,3 091₽
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Учебники для вузов. Специальная литература,786₽,1 747₽
Хакинг. Искусство эксплойта,Эриксон Джон,,1 974₽,2 531₽
C# 7.0. Справочник. Полное описание языка,Албахари,,3 065₽,6 810₽
Java SE 9. Базовый курс,Хорстманн Кей С.,,3 065₽,6 810₽
LabVIEW в научных исследованиях,Евдокимов,ДМК-Пресс:Все о LabVIEW,1 042₽,2 316₽
Python. Разработка на основе тестирования,Персиваль Гарри,,2 643₽,5 873₽
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,,772₽,965₽
Разработка одностраничных веб-приложений,Миковски,,1 391₽,3 091₽
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер:Библиотека программиста,727₽,909₽
Программирование искусственного интеллекта в приложениях,Джонс М. Тим,ДМК-Пресс:Для программистов,972₽,2 161₽
Программирование на Ардуино. От простого к сложному,Мамичев Дмитрий Иванович,Солон-пресс:Радиоэлектроника,793₽,1 763₽
Современный Java. Рецепты программирования,Коузен Кен,,1 391₽,3 091₽
Собираем устройства для тестов на проникновение,Бирюков Андрей Александрович,,1 598₽,3 552₽
Объектно Ориентированное Программирование,Гаско Рик,Солон-пресс:Программирование,918₽,2 041₽
Простая Математика для Простых Программистов,Гаско Рик,Солон-пресс:Программирование,765₽,1 701₽
Простой учебник программирования,Гаско Рик,Солон-пресс:Программирование,835₽,1 855₽
Java для чайников,Берд Барри,"Диалектика:Для ""чайников""",1 855₽,4 123₽
Психбольница в руках пациентов. Алан Купер об интерфейсах,Купер Алан,Питер:Библиотека программиста,1 528₽,1 959₽
Глубокое обучение с точки зрения практика,Паттерсон,,2 224₽,4 943₽
Релевантный поиск с использованием Elasticsearch и Solr,Тарнбулл,,1 807₽,4 016₽
Алгоритмы для начинающих. Теория и практика для разработчика,Луридас Панос,Бомбора:Мировой компьютерный бестселлер,1 316₽,1 803₽
Язык С в XXI веке,Клеменс Бен,,1 321₽,2 935₽
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,,3 065₽,6 810₽
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,,151₽,336₽
Анализ социальных медиа на Python,Бонцанини Марко,,1 529₽,3 397₽
Глубокое обучение (цветная),Бенджио,,2 781₽,6 179₽
"Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",Сизиков Валерий Сергеевич,Лань:Учебники для вузов. Специальная литература,2 197₽,4 883₽
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,Атенсио Луис,,2 420₽,5 378₽
Разработка операционной системы и компилятора. Проект Оберон,Вирт,ДМК-Пресс:Классика программирования,1 529₽,3 397₽
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET",Ховард,,695₽,1 544₽
Scala. Профессиональное программирование,Одерски,Питер:Библиотека программиста,2 480₽,3 179₽
Искусство алгоритмизации,Потопахин Виталий Валерьевич,,765₽,1 700₽
Java 9. Полный обзор нововведений,Кишори Шаран,ДМК-Пресс:Программирование,1 391₽,3 091₽
Kotlin в действии,Жемеров,,1 391₽,3 091₽
Конкурентное программирование на Scala,Прокопец Александр,,1 181₽,2 625₽
Крупномасштабное машинное обучение вместе с Python,Шарден,,1 529₽,3 397₽
Программирование на Clojure,Эмерик,ДМК-Пресс:Функциональное программирование,2 364₽,5 253₽
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0,Албахари,,968₽,2 152₽
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID,Холл Гэри Маклин,,2 420₽,5 378₽
Секреты JavaScript ниндзя,Резиг,,3 065₽,6 810₽
Курс программирования на языке Си. Учебник,Подбельский,,1 391₽,3 091₽
СУБД для программиста. Базы данных изнутри,Тарасов Сергей Витальевич,Солон-пресс:Библиотека профессионала,1 600₽,3 555₽
Объектно-ориентированное программирование в С++,Лафоре Роберт,Питер:Классика computer science,2 539₽,3 255₽
Машинное обучение с использованием библиотеки Н2О,Кук Даррен,,1 112₽,2 471₽
Программирование. Принципы и практика с использованием C++,Страуструп Бьярне,,4 838₽,10 752₽
Библиотека Keras - инструмент глубокого обучения,Джулли,,1 251₽,2 781₽
Визуализация данных с помощью библиотеки D3.js 4.x,Рининсланд,,972₽,2 161₽
Шаблоны корпоративных приложений,Фаулер,,3 630₽,8 066₽
Raspberry Pi. Сборник рецептов. Решение программных и аппаратных задач,Монк Саймон,,2 420₽,5 378₽
Visual C# 2.0.NET. Полное руководство,Прайс,,465₽,1 033₽
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем,Эванс Эрик,,4 838₽,10 752₽
C++ для чайников,Дэвис Стефан Рэнди,"Диалектика:Для ""чайников""",1 210₽,2 688₽
Рефакторинг. Улучшение проекта существующего кода,Бек,,3 065₽,6 810₽
Изучаем программирование на Python,Бэрри Пол,Эксмо:Мировой компьютерный бестселлер,1 772₽,2 427₽
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,Редмонд,,1 251₽,2 781₽
Шаблоны проектирования Node.JS,Касиаро,,1 598₽,3 552₽
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,,2 017₽,4 482₽
Vulkan. Руководство разработчика,Селлерс,,1 738₽,3 862₽
Среда динамического моделирования технических систем SimInTech. Практикум по моделированию систем,Карташов,,1 668₽,3 707₽
"Алгоритмы. Справочник с примерами на C, C++, Java и Python",Хайнеман,,2 420₽,5 378₽
Изучаем OpenCV 3,Кэлер,,3 059₽,6 798₽
Семь языков за семь недель. Практическое руководство по изучению языков программирования,Тейт Брюс,,1 181₽,2 625₽
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,2 317₽,3 174₽
Предметно-ориентированное проектирование. Самое основное,Вернон Вон,,1 855₽,4 123₽
Введение в Elixir. Введение в функциональное программирование,Сенлорен,,972₽,2 161₽
Моделирование аукционов,Демешев Борис Борисович,,903₽,2 006₽
Python и машинное обучение,Рашка Себастьян,,2 224₽,4 943₽
Проектирование пользовательского интерфейса в Android,Клифтон Ян,,1 807₽,4 016₽
"Прикладная криптография. Протоколы, алгоритмы и исходный код на C",Шнайер Брюс,,6 048₽,13 440₽
ASP.NET Core MVC с примерами на C# для профессионалов,Фримен Адам,,4 274₽,9 498₽
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,,626₽,1 390₽
Реактивное программирование с использованием RxJava,Нуркевич,,1 321₽,2 935₽
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов,Скляр Дэвид,,2 420₽,5 378₽
Go на практике,Батчер,,1 251₽,2 781₽
Использование Docker,Моуэт Эдриен,,1 381₽,3 069₽
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,,834₽,1 853₽
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,796₽,1 090₽
Cassandra. Полное руководство,Карпентер,,1 321₽,2 935₽
Изучаем Angular 2,Дилеман Пабло,,972₽,2 161₽
Разработка обслуживаемых программ на языке C#,Виссер Джуст,,903₽,2 006₽
Разработка обслуживаемых программ на языке Java,Виссер Джуст,,903₽,2 006₽
XBRL для чайников,Хоффман,"Диалектика:Для ""чайников""",1 855₽,4 123₽
Разработка геоприложений на языке Python,Вестра Эрик,,1 529₽,3 397₽
Инженерия требований,Халл,,1 251₽,2 781₽
Программирование PIC - микроконтроллеров на PicBasic,Хелибайк Чак,Додека XXI век:Программируемые системы,626₽,1 390₽
Введение в современные САПР. Курс лекций,Малюх Владимир Николаевич,ДМК-Пресс:САПР от А до Я,486₽,1 080₽
Функциональное программирование на F#,Сошников Дмитрий Валерьевич,,765₽,1 700₽
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ,Дьюхэрст Стефан К.,ДМК-Пресс:Профессиональная серия от Addison-Wesley,765₽,1 700₽
Dart в действии,Баккет Крис,,1 460₽,3 244₽
С для программистов с введением в С11,Дейтел,,1 460₽,3 244₽
Практическое использование Common Lisp,Сайбель Питер,ДМК-Пресс:Функциональное программирование,1 807₽,4 016₽
Сбор данных в Интернете на языке R,Храмов Дмитрий Александрович,,1 181₽,2 625₽
Unity 5.x. Программирование искусственного интеллекта в играх,Паласиос Хорхе,,1 251₽,2 781₽
Программирование микроконтроллеров. Стратегия и тактика,Матюшин Андрей Олегович,,1 529₽,3 397₽
Программирование и отладка С/С++ приложений для микроконтроллеров ARM,Магда Юрий Степанович,,626₽,1 390₽
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ,Мэйерс Скотт,,972₽,2 161₽
"Assembler. Для DOS, Windows и Unix",Зубков Сергей Владимирович,ДМК-Пресс:Для программистов,1 391₽,3 091₽
Лямбда-выражения в Java 8. Функциональное программирование - в массы,Уорбэртон Ричард,ДМК-Пресс:Функциональное программирование,834₽,1 853₽
Системная инженерия. Принципы и практика,Косяков,,1 947₽,4 326₽
Оптимизация приложений на платформе .Net,Голдштейн,,1 811₽,4 025₽
Интерфейс. Основы проектирования взаимодействия,Купер,Питер:Для профессионалов,2 266₽,2 905₽
Аналоговые интерфейсы микроконтроллеров,Болл Стюарт Р.,Додека XXI век:Программируемые системы,1 112₽,2 471₽
Практическое использование Vim. Редактируйте текст со скоростью мысли,Нейл Дрю,,1 251₽,2 781₽
Анализ сетей (графов) в среде R. Руководство пользователя,Люк Дуглас А.,,1 460₽,3 244₽
Bootstrap в примерах,Морето Сильвио,,972₽,2 161₽
Изучай Haskell во имя добра!,Липовача Миран,,1 251₽,2 781₽
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов + CD,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,338₽,750₽
Вычислительная геометрия. Алгоритмы и приложения,Де,,2 224₽,4 943₽
Разработка веб-приложений в ReactJS,Хортон,,1 251₽,2 781₽
Введение в статистическое обучение с примерами на языке R,Джеймс,,2 364₽,5 253₽
Современное программирование с нуля!,Потопахин Виталий Валерьевич,ДМК-Пресс:Учебное пособие,1 112₽,2 471₽
Программирование на языке Lua,Иерузалимски Роберту,,1 181₽,2 625₽
Android NDK. Руководство для начинающих,Ретабоуил Сильвен,,1 393₽,3 096₽
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета,Митчелл Райан,,1 181₽,2 625₽
PIC-микроконтроллеры: архитектура и программирование,Предко Майкл,,1 251₽,2 781₽
C# 6.0. Справочник. Полное описание языка,Албахари,,3 065₽,6 810₽
LabVIEW: стиль программирования,Блюм Питер,ДМК-Пресс:LabVIEW,626₽,1 390₽
Искусство автономного тестирования с примерами на С#,Ошероув Рой,,1 529₽,3 397₽
Графовые базы данных. Новые возможности для работы,Робинсон,,1 042₽,2 316₽
Руководство по микропроцессорному обеспечению,,,1 321₽,2 935₽
Чисто функциональные структуры данных,Окасаки Крис,,1 112₽,2 471₽
Программирование компьютерного зрения на языке Python,Солем Ян Эрик,,1 251₽,2 781₽
"UML Проектирование систем реального времени, распределенных и параллельных приложений",Гома Хассан,,1 738₽,3 862₽
"Периферийные устройства: интерфейсы, схемотехника, программирование",Авдеев Вадим Александрович,ДМК-Пресс:Все о радиоэлектронике,1 947₽,4 326₽
Анализ больших наборов данных,Лесковец,,2 085₽,4 634₽
Построение компиляторов,Вирт Никлаус,,695₽,1 544₽
Современный PHP. Новые возможности и передовой опыт,Локхарт Джош,,1 181₽,2 625₽
MATLAB. Теория и практика,Гилат Амос,,1 668₽,3 707₽
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ,Мейерс Скотт,ДМК-Пресс:Для программистов,972₽,2 161₽
Численные методы анализа и линейной алгебры. Использование Matlab и Scilab. Учебное пособие,Квасов Борис Ильич,Лань:Учебники для вузов. Специальная литература,1 175₽,2 611₽
Введение в надежное и безопасное распределенное программирование,Качина,,4 016₽,
C# 6.0. Карманный справочник,Албахари,,485₽,1 077₽
Разработка веб-приложений с использованием Flask на языке Python,Гринберг Мигель,,1 251₽,2 781₽
Введение в ECMAScript 6,Прасти Нараян,,695₽,1 544₽
Программирование мобильных устройств на платформе .Net Compact Framework,Самре Иво,,565₽,1 255₽
"Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK",Марк,,1 210₽,2 688₽
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,,1 452₽,3 227₽
Java EE 7. Основы,Гупта Арун,,726₽,1 613₽
Java SE 8. Вводный курс,Хорстманн Кей С.,,726₽,1 613₽
Joomla! Для профессионалов,Рамел Дэн,,1 210₽,2 688₽
Microsoft Exchange Server 2013. Полное руководство,Моримото,,2 420₽,5 378₽
WinRT. программирование на C# для профессионалов,Рихтер,,1 210₽,2 688₽
"Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa",Нойбург Мэтт,,968₽,2 152₽
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,Лонг,,646₽,1 435₽
C# 5.0 и платформа .NET 4.5 для профессионалов,Глинн,,1 855₽,4 123₽
Python на практике. Создание качественных программ с использованием параллелизма и библиотек,Саммерфилд Марк,ДМК-Пресс:Профессиональная серия программиста,1 112₽,2 471₽
Линейное программирование. Руководство к решению задач,Лунгу Константин Никитович,,219₽,487₽
Поисковая адаптация. Теория и практика,Курейчик,Физматлит:Информационные и компьютерные технологии,386₽,858₽
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность,Токарев Владислав Васильевич,,898₽,1 996₽
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,Подколзин Александр Сергеевич,,998₽,2 218₽
Обработка естественного языка на Java,Риз Ричард,,1 238₽,2 750₽
Теория вычислений для программистов,Стюарт Том,ДМК-Пресс:Теория программирования,1 112₽,2 471₽
Искусство поиска решения в нестандартной задаче,Потопахин Виталий Валерьевич,ДМК-Пресс:Прикладное программирование,1 112₽,2 471₽
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,Пьявченко Тамила Алексеевна,Лань:Учебники для вузов. Специальная литература,1 439₽,3 198₽
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,Гэртнер Маркус,,903₽,2 006₽
Полезное программирование. Уникальное руководство,Комлев Николай Юрьевич,Солон-пресс:Библиотека профессионала,696₽,1 546₽
Matlab и Simulink для радиоинженеров,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,2 364₽,5 253₽
Справочник по языку Haskell,Душкин Роман Викторович,,903₽,2 006₽
Программирование на ассемблере на платформе x86-64,Аблязов Руслан Зуфярович,,1 181₽,2 625₽
Семантический веб,Антониоу,,834₽,1 853₽
Функциональное программирование на языке Haskell,Душкин Роман Викторович,,1 529₽,3 397₽
Программирование на языке Go. Разработка приложений XXI века,Саммерфильд Марк,ДМК-Пресс:Профессиональное программирование,1 529₽,3 397₽
Разработка программного обеспечения: управление изменениями,Белладжио,,579₽,1 286₽
От математики к обобщенному программированию,Степанов,,1 251₽,2 781₽
Изучаем программирование на JavaScript,Фримен,Питер:Head First (O'Reilly),2 735₽,3 506₽
Путь Ruby,Фултон,ДМК-Пресс:Профессиональная серия программиста,1 947₽,4 326₽
Программирование на Objective-C,Кочан Стивен,Эком:Библиотека разработчика,1 391₽,3 092₽
Изучаем Spark,Карау,,1 181₽,2 625₽
Статистический анализ и визуализация данных с помощью R,Мастицкий,,1 391₽,3 091₽
LLVM. Инфраструктура для разработки компиляторов,Кардос,,1 181₽,2 625₽
Современный Фортран на практике,Маркус Арьен,,1 042₽,2 316₽
Программирование в Clojure. Практика применения Lisp в мире Java,Эмерик,ДМК-Пресс:Функциональное программирование,2 364₽,5 253₽
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс:Функциональное программирование,765₽,1 700₽
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс:Функциональное программирование,555₽,1 234₽
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс:Программируемые системы,1 391₽,3 091₽
Программирование микроконтроллеров ATMEL на языке C,Прокопенко Вадим Сергеевич,,634₽,1 408₽
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,,1 251₽,2 781₽
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,,900₽,2 001₽
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,,1 112₽,2 471₽
Введение в UML от создателей языка,Рамбо,ДМК-Пресс:Классика программирования,1 251₽,2 781₽
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс:Библиотека профессионала,368₽,817₽
EJB 3 в действии,Панда,ДМК-Пресс:Программирование в действии,1 391₽,3 091₽
"Обработка неструктурированных текстов. Поиск, организация и манипулирование",Ингерсолл,ДМК-Пресс:Программирование в действии,1 321₽,2 935₽
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,,1 181₽,2 625₽
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,,1 391₽,3 091₽
Методы обработки и распознавания изображений лиц в задачах биометрии,Кухарев,,1 257₽,
Введение в теорию языков программирования,Довек,,555₽,1 234₽
Spring в действии,Уоллс Крейг,ДМК-Пресс:Программирование в действии,1 738₽,3 862₽
Программирование на языке OCaml,Мински,ДМК-Пресс:Функциональное программирование,2 224₽,4 943₽
Платформа Windows Azure,Редкар,,1 112₽,2 471₽
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",,,1 529₽,3 397₽
.NET Сетевое программирование,Кумар,,871₽,1 936₽
Моделирование электротехнических устройств в MATLAB. SimPowerSystems и Simulink,Черных Илья Викторович,ДМК-Пресс:Проектирование,555₽,1 234₽
Java. Эффективное программирование,Блох Джошуа,,1 287₽,2 860₽
Разработка веб-приложений с использованием AngularJS,Козловский,,903₽,2 006₽
"Принципы построения, применения и проектирования компьютерной платформы U-SYS",Росляков,Солон-пресс:Библиотека студента,222₽,493₽
Разработка приложений Java EE 6 в NetBeans 7,Хеффельфингер Дэвид,,834₽,1 853₽
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум,Санников Е. В.,Солон-пресс:Элективный курс. Профильное обучение,581₽,1 290₽
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++,Грегори,,972₽,2 161₽
Оптимизация производительности приложений для iOS. Для профессионалов,Во Ханг,,637₽,1 416₽
Структуры данных и алгоритмы в Java. Классика Computers Science,Лафоре Роберт,Питер:Классика computer science,2 830₽,3 628₽
Звуковой дизайн в видеоиграх. Технология игрового аудио для непрограммистов,Деникин Антон Анатольевич,,1 529₽,3 397₽
Создание web-приложений в Silverlight,Буньон Лоран,,519₽,1 153₽
С++ для начинающих,Шилдт Герберт,Эком:Шаг за шагом,1 067₽,2 371₽
Профессиональное программирование приложений для iPhone и iPad,Баклин Джин,Эксмо:Мировой компьютерный бестселлер,1 010₽,1 384₽
PHP. Создание динамических страниц,Пауэрс Дэвид,Рид Групп:Веб-технологии,1 135₽,1 555₽
Изучаем Java,Сьерра,Эксмо:Мировой компьютерный бестселлер,1 680₽,2 302₽
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,,186₽,414₽
Руководство разработчика по Microsoft Enterprise Library,Хоумер,,467₽,1 038₽
Groovy и Grails. Практические советы,Абдул-Джавад Башар,,2 317₽,5 149₽
Микрокомпьютерные системы управления. Первое знакомство,Суэмацу Есикадзу,,1 251₽,2 781₽
Silverlight 2. Технология создания интернет-приложений,Буньон Лоран,,417₽,927₽
